row_index,field,agent_a_value,agent_b_value,chosen_value,notes,serotype,group_id,context_value,outcome_title
0,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis FHA,OG000,102.87,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
0,outcome_overview_time_frame_weeks,8,52,,,Pertussis FHA,OG000,102.87,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
1,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis FHA,OG001,105.17,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
1,outcome_overview_time_frame_weeks,8,52,,,Pertussis FHA,OG001,105.17,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
2,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis FHA,OG002,463.23,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
2,outcome_overview_time_frame_weeks,8,52,,,Pertussis FHA,OG002,463.23,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
3,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis FHA,OG003,456.55,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
3,outcome_overview_time_frame_weeks,8,52,,,Pertussis FHA,OG003,456.55,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
4,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis PT,OG000,50.01,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
4,outcome_overview_time_frame_weeks,8,52,,,Pertussis PT,OG000,50.01,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
5,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis PT,OG001,48.44,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
5,outcome_overview_time_frame_weeks,8,52,,,Pertussis PT,OG001,48.44,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
6,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis PT,OG002,60.89,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
6,outcome_overview_time_frame_weeks,8,52,,,Pertussis PT,OG002,60.89,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
7,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis PT,OG003,64.53,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
7,outcome_overview_time_frame_weeks,8,52,,,Pertussis PT,OG003,64.53,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
8,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis PRN,OG000,167.76,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
8,outcome_overview_time_frame_weeks,8,52,,,Pertussis PRN,OG000,167.76,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
9,outcome_overview_dose_description,8w post dose 1 child,52w post dose 1 child,,,Pertussis PRN,OG001,166.19,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
9,outcome_overview_time_frame_weeks,8,52,,,Pertussis PRN,OG001,166.19,Geometric Mean Antibody Concentration (GMC) of Pertussis in the 13vPnC Group Relative to the 7vPnC Group After the 2-Dose Infant Series and After the Toddler Dose
