nct_id,trial_title,field,group,agent_a_value,agent_b_value,chosen_value,rows_affected,sample_serotype,outcome_title,notes,exclusion reason
NCT01545375,Evaluation of a Vaccine for Reducing Ear and Lung Infections in Children,_selection,Control Group,included,excluded,excluded,106,1,"Antibody Concentrations Against Vaccine Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F",,
NCT01545375,Evaluation of a Vaccine for Reducing Ear and Lung Infections in Children,_selection,dPly-PhtD Group,included,excluded,excluded,106,1,"Antibody Concentrations Against Vaccine Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F",,
NCT00708682,Study Evaluating 13-Valent Pneumococcal Conjugate Vaccine in Healthy Infants in Mexico,outcome_overview_dose_description,13vPnC,1m post dose 2 child,post dose 2 child,1m post dose 2 child,13,4,Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal IgG Antibody After Dose 2 of the Infant Series,,
NCT00708682,Study Evaluating 13-Valent Pneumococcal Conjugate Vaccine in Healthy Infants in Mexico,outcome_overview_dose_description,13vPnC,1m post dose 3 child,post dose 3 child,1m post dose 3 child,13,4,GMC for Serotype-specific Pneumococcal IgG Antibody After Dose 3 of the Infant Series,,
NCT00708682,Study Evaluating 13-Valent Pneumococcal Conjugate Vaccine in Healthy Infants in Mexico,outcome_overview_dose_description,13vPnC,1m post boost child,post boost child,1m post boost child,13,4,GMC for Serotype-specific Pneumococcal IgG Antibody After the Toddler Dose,,
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_dose_description,Prevnar 1 Group,,1m post dose 1 child,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_dose_description,Prevnar 2 Group,,1m post dose 2 child,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_dose_description,Synflorix Group,,1m post dose 2 child,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_dose_description,Group 1: Prevnar 13™ → Pneumovax™ 23 → Placebo,pre dose 2 adult,8w post dose 1 adult,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 8",,Evaluate timing of PCV13-PPSV23 sequence but does not directly compare to other strategies
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_dose_description,Group 1: Prevnar 13™ → Pneumovax™ 23 → Placebo,pre dose 3 adult,18w post dose 2 adult,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 26",,Evaluate timing of PCV13-PPSV23 sequence but does not directly compare to other strategies
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_dose_description,Group 2: Prevnar 13™ → Placebo → Pneumovax™ 23,pre dose 2 adult,8w post dose 1 adult,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 8",,Evaluate timing of PCV13-PPSV23 sequence but does not directly compare to other strategies
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_dose_description,Group 2: Prevnar 13™ → Placebo → Pneumovax™ 23,pre dose 2 adult,0w post dose 2 adult,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 26",,Evaluate timing of PCV13-PPSV23 sequence but does not directly compare to other strategies
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_dose_number,Prevnar 2 Group,1,2,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_dose_number,Synflorix Group,1,2,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_dose_number,Group 2: Prevnar 13™ → Placebo → Pneumovax™ 23,1,2,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 26",,not a head-to-head trial of different PCVs
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_manufacturer,Prevnar 2 Group,GlaxoSmithKline,Pfizer,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_manufacturer,Group 1: Prevnar 13™ → Pneumovax™ 23 → Placebo,Pfizer,MSD,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 30",,not a head-to-head trial of different PCVs
