nct_id,status,rows_existing,rows_agent_a,rows_agent_b,rows_matched_ab,ab_agreements,ab_categorical_disagreements,ab_numeric_disagreements,ab_selection_disagreements,rows_matched_existing,rows_extra_existing,rows_missing_existing,rows_with_field_diffs,notes
NCT00205803,NEEDS_REVIEW,82,132,132,132,0,132,0,0,0,82,132,0,82 existing rows not in new extraction. 132 new rows not in existing CSV. 
NCT00307034,NEEDS_REVIEW,120,0,186,0,0,0,0,186,0,120,0,0,120 existing rows not in new extraction. 
NCT00344318,NEEDS_REVIEW,96,96,180,96,0,96,0,84,0,96,96,0,96 existing rows not in new extraction. 96 new rows not in existing CSV. 
NCT00345358,NEEDS_REVIEW,192,0,227,0,0,0,0,227,0,192,0,0,192 existing rows not in new extraction. 
NCT00366340,NEEDS_REVIEW,74,142,142,142,0,142,0,0,0,74,142,0,74 existing rows not in new extraction. 142 new rows not in existing CSV. 
NCT00366678,NEEDS_REVIEW,103,135,148,135,0,135,0,13,0,103,135,0,103 existing rows not in new extraction. 135 new rows not in existing CSV. 
NCT00366899,NEEDS_REVIEW,73,144,144,144,0,144,0,0,0,73,144,0,73 existing rows not in new extraction. 144 new rows not in existing CSV. 
NCT00368966,NEEDS_REVIEW,39,75,75,75,0,75,0,0,0,39,75,0,39 existing rows not in new extraction. 75 new rows not in existing CSV. 
NCT00370396,NEEDS_REVIEW,120,60,186,60,0,60,0,126,0,120,60,0,120 existing rows not in new extraction. 60 new rows not in existing CSV. 
NCT00373958,NEEDS_REVIEW,60,140,140,140,0,140,0,0,0,60,140,0,60 existing rows not in new extraction. 140 new rows not in existing CSV. 
NCT00384059,NEEDS_REVIEW,39,94,94,94,0,94,0,0,0,39,94,0,39 existing rows not in new extraction. 94 new rows not in existing CSV. 
NCT00390910,NEEDS_REVIEW,36,0,105,0,0,0,0,105,0,36,0,0,36 existing rows not in new extraction. 
NCT00427895,NEEDS_REVIEW,39,242,242,242,52,190,0,0,39,0,203,39,203 new rows not in existing CSV. 39 rows with field differences. 
NCT00444457,NEEDS_REVIEW,48,208,208,208,0,208,0,0,0,48,208,0,48 existing rows not in new extraction. 208 new rows not in existing CSV. 
NCT00452790,NEEDS_REVIEW,32,52,52,52,0,52,0,0,0,32,52,0,32 existing rows not in new extraction. 52 new rows not in existing CSV. 
NCT00474539,NEEDS_REVIEW,39,51,51,51,0,51,0,0,0,39,51,0,39 existing rows not in new extraction. 51 new rows not in existing CSV. 
NCT00475033,NEEDS_REVIEW,16,66,66,66,0,66,0,0,0,16,66,0,16 existing rows not in new extraction. 66 new rows not in existing CSV. 
NCT00546572,NEEDS_REVIEW,24,80,80,80,53,27,0,0,0,24,80,0,24 existing rows not in new extraction. 80 new rows not in existing CSV. 
NCT00574548,NEEDS_REVIEW,72,122,122,122,122,0,0,0,0,72,122,0,72 existing rows not in new extraction. 122 new rows not in existing CSV. 
NCT00574795,NEEDS_REVIEW,26,26,26,26,0,26,0,0,0,26,26,0,26 existing rows not in new extraction. 26 new rows not in existing CSV. 
NCT00680914,NEEDS_REVIEW,24,0,28,0,0,0,0,28,0,24,0,0,24 existing rows not in new extraction. 
NCT00688870,NEEDS_REVIEW,52,52,52,52,0,52,0,0,0,52,52,0,52 existing rows not in new extraction. 52 new rows not in existing CSV. 
NCT00689351,NEEDS_REVIEW,52,104,104,104,0,104,0,0,0,52,104,0,52 existing rows not in new extraction. 104 new rows not in existing CSV. 
NCT00708682,NEEDS_REVIEW,39,78,78,78,13,65,0,0,0,39,78,0,39 existing rows not in new extraction. 78 new rows not in existing CSV. 
NCT01204658,NEEDS_REVIEW,90,0,468,0,0,0,0,468,0,90,0,0,90 existing rows not in new extraction. 
NCT01215175,NEEDS_REVIEW,116,310,310,310,310,0,0,0,0,116,310,0,116 existing rows not in new extraction. 310 new rows not in existing CSV. 
NCT01215188,NEEDS_REVIEW,112,405,405,405,0,405,0,0,0,112,405,0,112 existing rows not in new extraction. 405 new rows not in existing CSV. 
NCT01513551,NEEDS_REVIEW,56,90,90,90,0,90,0,0,0,56,90,0,56 existing rows not in new extraction. 90 new rows not in existing CSV. 
NCT01545375,NEEDS_REVIEW,5,0,158,0,0,0,0,158,0,5,0,0,5 existing rows not in new extraction. 
NCT01616459,NEEDS_REVIEW,52,0,272,0,0,0,0,272,0,52,0,0,52 existing rows not in new extraction. 
NCT01641133,NEEDS_REVIEW,4,0,240,0,0,0,0,240,0,4,0,0,4 existing rows not in new extraction. 
NCT01646398,NEEDS_REVIEW,6,52,52,52,0,52,0,0,0,6,52,0,6 existing rows not in new extraction. 52 new rows not in existing CSV. 
NCT02037984,NEEDS_REVIEW,70,525,525,525,285,240,0,0,0,70,525,0,70 existing rows not in new extraction. 525 new rows not in existing CSV. 
NCT02097472,NEEDS_REVIEW,20,869,869,869,95,774,0,0,0,20,869,0,20 existing rows not in new extraction. 869 new rows not in existing CSV. 
NCT02225587,NEEDS_REVIEW,112,118,118,118,0,118,0,0,0,112,118,0,112 existing rows not in new extraction. 118 new rows not in existing CSV. 
NCT02308540,NEEDS_REVIEW,182,368,368,368,208,160,0,0,0,182,368,0,182 existing rows not in new extraction. 368 new rows not in existing CSV. 
NCT02531373,NEEDS_REVIEW,70,330,330,330,330,0,0,0,0,70,330,0,70 existing rows not in new extraction. 330 new rows not in existing CSV. 
NCT02547649,NEEDS_REVIEW,84,180,180,180,0,180,0,0,0,84,180,0,84 existing rows not in new extraction. 180 new rows not in existing CSV. 
NCT02573181,NEEDS_REVIEW,8,240,240,240,240,0,0,0,0,8,240,0,8 existing rows not in new extraction. 240 new rows not in existing CSV. 
NCT02736240,NO_RESULTS,104,0,0,,,,,,,,,,Trial has no results section in API
NCT02987972,NEEDS_REVIEW,126,174,174,174,174,0,0,0,0,126,174,0,126 existing rows not in new extraction. 174 new rows not in existing CSV. 
NCT03197376,NEEDS_REVIEW,120,378,378,378,98,280,0,0,0,120,378,0,120 existing rows not in new extraction. 378 new rows not in existing CSV. 
