clinical_trial_study_name,clinical_trial_study_id,clinical_trial_sponsor,clinical_trial_responsible_party,clinical_trial_phase,location_country_code,location_continent,study_eligibility_standard_age_list,study_eligibility_ethnicity,outcome_overview_title,outcome_overview_id,outcome_overview_description,outcome_overview_time_frame,outcome_overview_assay,outcome_overview_dose_number,outcome_overview_participants,outcome_overview_serotype,outcome_overview_value,outcome_overview_upper_limit,outcome_overview_lower_limit,outcome_overview_ratio,outcome_overview_vaccine,outcome_overview_immunocompromised_population,outcome_overview_manufacturer,outcome_overview_dose_description,outcome_overview_schedule,outcome_overview_time_frame_weeks,outcome_overview_confidence_interval,outcome_overview_percent_responders
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Synflorix,OG003,Three doses + 1 booster dose of Synflorix in a subset,One year post booster vaccination,GMC,4,190,23F,0.289999999999999980015985556747182272374629974365234375,0.34,0.25,,PCV10 (Synflorix),,GSK,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Pneumosil,OG001,Three doses + 1 booster dose of Pneumosil in a subset,One year post booster vaccination,GMC,4,378,23F,0.429999999999999993338661852249060757458209991455078125,0.48,0.39,,PCV10 (Pneumosil),,Serum Institute of India,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Synflorix,OG003,Three doses + 1 booster dose of Synflorix in a subset,One year post booster vaccination,GMC,4,190,19A,0.66000000000000003108624468950438313186168670654296875,0.78,0.55,,PCV10 (Synflorix),,GSK,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Synflorix,OG003,Three doses + 1 booster dose of Synflorix in a subset,One year post booster vaccination,GMC,4,190,14,0.70999999999999996447286321199499070644378662109375,0.85,0.59,,PCV10 (Synflorix),,GSK,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Pneumosil,OG001,Three doses + 1 booster dose of Pneumosil in a subset,One year post booster vaccination,GMC,4,378,1,0.299999999999999988897769753748434595763683319091796875,0.32,0.28,,PCV10 (Pneumosil),,Serum Institute of India,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Pneumosil,OG001,Three doses + 1 booster dose of Pneumosil in a subset,One year post booster vaccination,GMC,4,378,5,0.40000000000000002220446049250313080847263336181640625,0.44,0.37,,PCV10 (Pneumosil),,Serum Institute of India,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Pneumosil,OG001,Three doses + 1 booster dose of Pneumosil in a subset,One year post booster vaccination,GMC,4,378,19A,0.91000000000000003108624468950438313186168670654296875,1.01,0.81,,PCV10 (Pneumosil),,Serum Institute of India,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Synflorix,OG003,Three doses + 1 booster dose of Synflorix in a subset,One year post booster vaccination,GMC,4,190,6A,0.309999999999999997779553950749686919152736663818359375,0.36,0.26,,PCV10 (Synflorix),,GSK,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Synflorix,OG003,Three doses + 1 booster dose of Synflorix in a subset,One year post booster vaccination,GMC,4,190,19F,1.350000000000000088817841970012523233890533447265625,1.55,1.17,,PCV10 (Synflorix),,GSK,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Synflorix,OG003,Three doses + 1 booster dose of Synflorix in a subset,One year post booster vaccination,GMC,4,190,7F,0.4899999999999999911182158029987476766109466552734375,0.55,0.44,,PCV10 (Synflorix),,GSK,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Synflorix,OG003,Three doses + 1 booster dose of Synflorix in a subset,One year post booster vaccination,GMC,4,190,1,0.179999999999999993338661852249060757458209991455078125,0.21,0.16,,PCV10 (Synflorix),,GSK,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Pneumosil,OG001,Three doses + 1 booster dose of Pneumosil in a subset,One year post booster vaccination,GMC,4,378,14,0.9899999999999999911182158029987476766109466552734375,1.1,0.89,,PCV10 (Pneumosil),,Serum Institute of India,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Pneumosil,OG001,Three doses + 1 booster dose of Pneumosil in a subset,One year post booster vaccination,GMC,4,378,9V,0.38000000000000000444089209850062616169452667236328125,0.42,0.35,,PCV10 (Pneumosil),,Serum Institute of India,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Synflorix,OG003,Three doses + 1 booster dose of Synflorix in a subset,One year post booster vaccination,GMC,4,190,6B,0.61999999999999999555910790149937383830547332763671875,0.71,0.55,,PCV10 (Synflorix),,GSK,12m post boost child,3+1 child,96,,0
Phase 3 Study of 10-valent Pneumococcal Conjugate Vaccine (PNEUMOSIL) in Healthy Infants,NCT03197376,PATH,PATH,Phase 3,GM,Africa,"[""Child""]","[""Race-African"",""Race-Other"",""Ethnicity-Mandinka"",""Ethnicity-Wolof"",""Ethnicity-Fula"",""Ethnicity-Jola"",""Ethnicity-Serahule"",""Ethnicity-Serere"",""Ethnicity-Manjago"",""Ethnicity-Other""]",One Year Post Booster-Pneumosil,OG001,Three doses + 1 booster dose of Pneumosil in a subset,One year post booster vaccination,GMC,4,378,6A,0.729999999999999982236431605997495353221893310546875,0.8,0.67,,PCV10 (Pneumosil),,Serum Institute of India,12m post boost child,3+1 child,96,,0
